gene,target,NDE,NDE_p,NIE,NIE_p,prop_med
SLAMF8,SLAMF8,17.77820580827427,7.507882735552499e-4,-0.6486410204857311,0.3484509655835739,-0.037866754265008504
LRIG1,LRIG1,16.552657988496595,0.0017633962334044784,-0.5636858440297488,0.3493467478127594,-0.03525466421084599
CCL22,MDC,16.44740549181117,0.001992891652062,0.6443237608050743,0.35370672748600857,0.03769798545729052
C2orf66,CB066,16.683633545128227,0.0015644559404294647,0.27573371304346334,0.3661060904309961,0.016258490593781084
FSTL4,FSTL4,16.845645017751757,0.0015811433118545761,0.33990713870675715,0.37387301384627164,0.01977865683989772
TNFRSF12A,TWEAKR,17.521886698230027,9.230288935371039e-4,-0.41571538059511054,0.3740189794724552,-0.02430207045609005
CCBL1,KAT1,17.302434822884166,0.0010905663328608492,-0.41638550245113437,0.37556870136021453,-0.02465855065028653
CD226,CD226,16.653461853526025,0.0017008992836366537,0.34383142802254313,0.37672890885838745,0.020228598890847504
H6PD,G6PE,16.856452435475607,0.0013069577338937165,0.29044676642381667,0.3776015240787272,0.01693873411185871
POMC,Corticotropin-lipotropin,16.649898864549687,0.0018048045033984867,0.338310664278466,0.3910949809337467,0.019914439111689167
FGF8,FGF-8F,16.44027083638751,0.001959047487898166,0.5255589353858527,0.39392538136452443,0.030977496677483077
ARPP21,cAMP-regulated phosphoprotein 21,16.90467247670275,0.0013567480921798717,0.19981024514787296,0.4025633516387187,0.011681747317188348
DCBLD1,DCBD1,15.840728842276066,0.0030408914657544476,0.37926281555372426,0.40487626549391975,0.023382429754249888
ARL4D,ARL4D,18.052202962102044,6.289332613229882e-4,-0.4801027982595938,0.40524172422344973,-0.02732187921666222
DNMT3L,DNM3L,17.236794222433858,0.0011434588050494201,-0.1526187817581511,0.41570041274227376,-0.008933341985869632
NT5E,5'-Nucleotidase,17.006255836637653,0.0011967402740360612,0.4331010663621986,0.42145085163234985,0.02483469251596647
GIF,Gastric intrinsic factor,16.636981662027026,0.0015763226381372447,0.42697847522726523,0.4222426960512853,0.025022238202202517
TNFRSF17,BCMA,17.792184713828917,0.0010284475888588367,-0.4335438348307278,0.4232155377836193,-0.024975678559907434
LAMC2,Laminin gamma-2,17.59438723799953,9.316327493520117e-4,-0.37201719785264015,0.4244669654473202,-0.021600813185724998
IL6R,IL-6 sRa,17.12229315010813,0.0011586504540094203,0.30940352164559676,0.4317062374728002,0.01774947829071357
RAB39B,RB39B,17.17570803871565,0.0011907537918619399,0.5631914619787037,0.4354356753756754,0.031748951616567794
ACBD6,ACBD6,16.43195141891124,0.0024081598509198927,0.34060742463617605,0.4356188277087445,0.020307421653030087
TIMP4,TIMP-4,16.441821990788643,0.0024070837231696366,0.5024989333891964,0.4374901229833834,0.02965589094055584
ITM2B,ITM2B,16.709528668098876,0.0016051767834393748,0.36778799780932747,0.4495654382283865,0.021536638630327103
GNGT2,GBGT2,18.26610801857808,7.406257291089782e-4,-0.4700571904548561,0.4509694060929034,-0.026413567537805716
SIRPG,SIRPG,16.656361019905685,0.0016383895677194171,0.29508670419077626,0.45306622383393474,0.017407758263107576
NEURL1,NEUL1,17.432865698483564,0.0010300845953639284,-0.24341238637321924,0.45552420125718024,-0.014160565897795591
