gene,target,full_name,beta,se,t_stat,p_value,FDR
KLK10,kallikrein 10,Kallikrein-10,-0.1377304018082072,0.04040420975294836,-3.408813157103185,6.727803620952199e-4,0.1057775921345522
NOTUM,NOTUM,Palmitoleoyl-protein carboxylesterase NOTUM,-0.11775585488826772,0.034716323834236056,-3.391944822571937,7.151967124820873e-4,0.1057775921345522
CILP2,CILP2,Cartilage intermediate layer protein 2,-0.13035951816779795,0.038241323136729816,-3.4088652660292227,6.726530372669473e-4,0.1057775921345522
GNGT2,GBGT2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,-0.1217349290356537,0.036293939044317346,-3.3541393478125134,8.194543755790045e-4,0.1073700877896806
DUSP13,DUSP13,Dual specificity protein phosphatase 13 isoform A,-0.11175750935761032,0.03329178272074147,-3.35690973039972,8.113593164127232e-4,0.1073700877896806
EPHB2,EPHB2,Ephrin type-B receptor 2,-0.07699317376138892,0.02293547107462281,-3.3569475643593307,8.112492815389386e-4,0.1073700877896806
KRT1,Keratin-1,"Keratin, type II cytoskeletal 1",-0.11196325866260559,0.03328302439067798,-3.3639749004890507,7.910499694262935e-4,0.1073700877896806
ADAMTS5,ADAMTS-5,A disintegrin and metalloproteinase with thrombospondin motifs 5,0.09401894609959316,0.028142152544154652,3.340858377911168,8.593136837653286e-4,0.10970571362737362
TNXB,Tenascin-X,Tenascin-X,-0.06751570960807637,0.020367996812850047,-3.3147938026719013,9.428225313781029e-4,0.11449544838369694
MMP19,MMP19,Matrix metalloproteinase-19,0.10107904934289436,0.030467243790452746,3.3176302404672593,9.333827904408627e-4,0.11449544838369694
CADM1,Nectin-like protein 2,Cell adhesion molecule 1,-0.09342024701479884,0.02831951610767269,-3.2987939009836476,9.97749828278402e-4,0.11828086654757533
FABP3,FABP,"Fatty acid-binding protein, heart",0.0948009892572763,0.028884913447117352,3.2820243491758574,0.0010584917512757599,0.11977796430913655
IGSF3,IGSF3,Immunoglobulin superfamily member 3,-0.1267976941728763,0.03863003683046361,-3.2823601677978154,0.0010572424686290602,0.11977796430913655
GLTP,GLTP,Glycolipid transfer protein,0.1197715497310648,0.036728497208852795,3.2609978309212133,0.001139491844510291,0.12071340199610082
IL5RA,IL-5 Ra,Interleukin-5 receptor subunit alpha,-0.15503726532481485,0.04745131416252831,-3.267291287102977,0.001114665446182468,0.12071340199610082
ROBO2,ROBO2,Roundabout homolog 2,-0.05057302644744064,0.01549846811391101,-3.2630983962890916,0.0011311492071260137,0.12071340199610082
NUDT1,8ODP,"7,8-dihydro-8-oxoguanine triphosphatase",0.09474003365795718,0.029162154113518596,3.248732356641613,0.001189353368414812,0.12337063377786145
DEFB4A,HBD-2,Beta-defensin 4A,0.2749677045450041,0.08533485134001688,3.222220467103115,0.0013040995903942734,0.1303629331568783
GLYAT,GLYAT,Glycine N-acyltransferase,-0.1473363453609587,0.045740879074846766,-3.221108739949425,0.0013091276677734316,0.1303629331568783
ELANE,Elastase,Neutrophil elastase,0.08711781765694797,0.027271909205646983,3.1944157997896663,0.0014353647563934888,0.14013100239378787
BMP7,BMP-7,Bone morphogenetic protein 7,-0.09404742818611679,0.02954748927056998,-3.182924522788145,0.001493093307589786,0.142963684201722
