gene,target,beta,se,ci_lower,ci_upper,p_value
MSR1,Macrophage scavenger receptor,0.007634652931633496,0.019809502266989437,-0.03134006057630853,0.04660936643957553,0.7001969202600085
ANTXR2,ANTR2,-0.04435573170104236,0.030453573680827514,-0.10427239661801702,0.015560933215932306,0.14624327324190609
FANK1,FANK1,-0.023659904900328422,0.009587996268509322,-0.04252405416787888,-0.004795755632777957,0.014127808402794673
IL6R,IL-6 sRa,-0.057933914268647434,0.0220457372761551,-0.10130836572275179,-0.014559462814543081,0.009009487785345622
MOG,MOG,0.046704423337271525,0.020297985508760993,0.006768630941789595,0.08664021573275346,0.022043719463843113
PDCD1,PD-1,0.05891715338278833,0.013045043810060556,0.03325134722859204,0.08458295953698461,8.882670068302514e-6
PSG1,PSG1,0.028601810414265228,0.016033783127099212,-0.0029442675943943154,0.060147888422924775,0.07540507042385089
RBP4,RBP,-0.018935744196982414,0.032111426226936635,-0.08211419364302566,0.04424270524906084,0.5558194483021281
SORCS3,SORC3,0.019400521169146524,0.019555702979654248,-0.01907484841893881,0.05787589075723186,0.32192264017746386
BTD,Biotinidase,-0.054520548385531706,0.03383736335341971,-0.12109473711521633,0.012053640344152919,0.10811981140681434
BMP2,BMP-2,-0.024687942304011737,0.02306213399037886,-0.07006212955225047,0.020686244944226988,0.28521009926827856
GIP,GIP,0.018852078147797102,0.010352272599327398,-0.0015157661966444906,0.0392199224922387,0.06954074365192663
ROBO4,ROBO4,4.3455370902613924e-4,0.006571495297051624,-0.01249470332476504,0.013363810742817318,0.9473183460995878
TREM2,TREM2,0.044587106712888604,0.0183259225684772,0.008531300148513145,0.08064291327726406,0.015526633002093317
LGR4,LGR4,0.019250807844861984,0.009973534165269362,-3.718778498109747e-4,0.03887349353953494,0.05447527342913179
HMGA1,HMGA1,0.008762293986980448,0.017480382032708658,-0.02562993215539487,0.043154520129355764,0.6165329317985442
C1QTNF9,C1T9A,0.04145595407276893,0.01856300106506756,0.004933701337310199,0.07797820680822767,0.0262295795256867
INHBB,Activin B,-0.04075510163837738,0.024078440445645343,-0.08812884709844912,0.006618643821694352,0.09151468493267138
BMP3,BMP-3,-0.02306062092544911,0.025345197575033312,-0.07292668020222444,0.02680543835132622,0.3635868016788729
HSPA1A,HSP 70,0.017106907543540426,0.028893695093243965,-0.03974073422288532,0.07395454930996617,0.55422997671541
DEFA5,HD-5,0.04127419951331527,0.011808662953758533,0.018040942597944393,0.06450745642868615,5.411061181457554e-4
CALB2,CALB2,-0.02213496395244813,0.008985082582603336,-0.03981289521908694,-0.004457032685809326,0.014288652724143354
KIR2DS4,KI2S4,0.08070659988829959,0.031068260567189747,0.019580553485098517,0.14183264629150066,0.009822458728047016
PTGES3,TEBP,0.01110699370848657,0.028549127790413423,-0.04506272027706789,0.06727670769404104,0.6975015118250287
ANXA3,Annexin III,-0.026811702825099443,0.013379884478940502,-0.053136299844634666,-4.8710580556422106e-4,0.04593331213380969
FGF8,FGF-8F,-0.0314835609119632,0.012634997525105118,-0.05634261098184506,-0.006624510842081342,0.013221412270442082
LCP1,L-plastin,-0.10344828963140122,0.055444710035138546,-0.21253440699192863,0.005637827729126188,0.06299394209531127
DUSP23,DUS23,-0.0015754353417837094,0.0183860170909176,-0.03774947641624144,0.034598605732674016,0.9317696457655869
KREMEN1,KREM1,-0.06848478115200575,0.04218478651031835,-0.1514823217501434,0.014512759446131895,0.10548775868748718
CCBL1,KAT1,0.10761656066528967,0.03898403991460226,0.030916411081737788,0.18431671024884155,0.006106785708463912
TES,TES,-0.016539625752234628,0.016939547545034753,-0.04986777320508978,0.016788521700620524,0.3296151325056724
SRP14,SRP14,-0.013335685417259144,0.02238957694420582,-0.05738663304851754,0.03071526221399925,0.5518539414136285
ING4,ING4,0.0052844890324921,0.015031618402383947,-0.02428985427495634,0.03485883233994054,0.72540316239307
GIF,Gastric intrinsic factor,0.02067320746042429,0.009969594865589489,0.0010582722419811598,0.04028814267886742,0.03892133727242049
UGT1A1,UGT 1A1,0.04672891746940175,0.01714477347425917,0.012996992996401495,0.080460841942402,0.006776172809547359
GMNN,GEMI,-0.04165904050267473,0.014807051299511998,-0.07079155350162886,-0.012526527503720603,0.005207169796924093
HSPH1,HS105,0.043527404768867566,0.011072912626699896,0.021741718712370323,0.06531309082536481,1.0392085117716726e-4
RRM2,RIR2,0.03383229902339746,0.04731255635446898,-0.059254003923073964,0.12691860196986887,0.4750854436220392
NUDT5,NUDT5,-0.0063929270021641175,0.026518604079888732,-0.0585676350142136,0.04578178100988537,0.8096541666474801
UBD,UBD,-0.007327634576159013,0.04379262915347437,-0.09348856643664472,0.0788332972843267,0.8672204324105237
