gene,target,beta,se,ci_lower,ci_upper,p_value
NEGR1,NEGR1,-0.13564735923109886,0.055583236702541644,-0.24500602443772954,-0.02628869402446818,0.015216824349411871
LUM,Lumican,0.00831748486074882,0.045076780248220386,-0.080369983019879,0.09700495274137663,0.8537249628212715
WNT3A,WNT3A,-0.03971303694300779,0.017453495481679706,-0.07405236445070534,-0.0053737094353102435,0.02355137901012178
B4GALT1,B4GT1,0.007809992451863686,0.07320832287058142,-0.1362256007610222,0.15184558566474954,0.915108937384526
EHF,EHF,0.027795820066228667,0.012438045262312434,0.0033242687791848434,0.05226737135327249,0.026130823020717654
DEFB4A,HBD-2,0.015023069676507673,0.006309704087224538,0.002608880475536852,0.027437258877478492,0.017858537953347433
ENOX2,ENOX2,-0.028138078721153533,0.030939561540473583,-0.08901091292207873,0.03273475547977166,0.3638019692839969
SF3B4,SF3B4,-0.025909691431259343,0.023219286808627223,-0.07159307302399213,0.019773690161473453,0.2653231975332836
MRPL33,RM33,0.03880554928976229,0.019738234417008792,-2.894645814286584e-5,0.07764004503766744,0.05016997789529637
FAM171A2,F1712,0.06964994077476107,0.03606791068198889,-0.0013127955279616382,0.14061267707748376,0.05436484087662356
TMEM87B,TM87B,0.0036201383563110937,0.02232626008162546,-0.04030623488907777,0.04754651160169996,0.8712933192669197
ATP2A3,AT2A3,-0.10477791859426422,0.04051984041594673,-0.18449971827979778,-0.025056118908730662,0.010160003247227782
HNRNPR,HNRPR,-0.05037520567135004,0.01598597806121868,-0.08182722837655923,-0.01892318296614085,0.0017811650347847102
PIAS3,PIAS3,-0.016270992877474084,0.01926255830144296,-0.054169607446898395,0.021627621691950226,0.3989180159572171
ARHGEF25,ARHGP,0.042804611932730226,0.02554398266094183,-0.007452552161749018,0.09306177602720947,0.09477867129844061
MYCT1,MYCT1,-0.012661625906176532,0.02006454507179751,-0.05213812992433351,0.026814878111980446,0.5284659802034184
HTR6,5HT6R,-0.022541690784814078,0.017448376169119123,-0.056870946169662845,0.011787564600034689,0.19733018922699005
ACBD7,ACBD7,-0.028875442250084832,0.013633288100699496,-0.05569860472708688,-0.0020522797730827824,0.03495217958916546
SSU72,SSU72,0.024258865342818216,0.010527237265273062,0.003546782277113615,0.044970948408522816,0.02184685273150803
DVL2,DVL2,-0.01749881473785527,0.044553800738996195,-0.10515733316443734,0.07015970368872682,0.6947629770224231
UAP1,Sperm-associated antigen 2,-0.006002365210724121,0.0162597996648387,-0.03799312525569776,0.025988394834249515,0.7122596136845066
THTPA,THTPA,0.06852425916858693,0.02014060865939241,0.028898101893374745,0.10815041644379911,7.539129350853619e-4
NEURL1,NEUL1,0.08235120572046173,0.02512921448551865,0.03291008791485207,0.1317923235260714,0.0011650650154213901
CYTIP,CYTIP,0.018172733046843834,0.010788755459126156,-0.0030538806993980414,0.03939934679308571,0.09308591031239913
PDGFC,PDGF-CC,0.022117440732853263,0.00971708031127511,0.002999321753321328,0.0412355597123852,0.023504246562011246
PPP2R3A,"PP2A, subunit B",-0.018552950392644096,0.02139566269979175,-0.06064839594185103,0.023542495156562836,0.38652337068959197
FGFR3,FGFR-3,0.007399193196185969,0.044063797022493564,-0.07929525484583418,0.09409364123820611,0.8667532869349123
ELANE,Elastase,0.06879886143474595,0.030284392043266415,0.009215057271457966,0.12838266559803393,0.023770852337973124
INHBB,Inhibin bB chain,0.0694377202998943,0.021583436382508182,0.02697283460072461,0.11190260599906399,0.001428345246353073
IL5RA,IL-5 Ra,-0.004483331553561216,0.013025387866514524,-0.03011046511729512,0.021143802010172692,0.7309244972488541
SFXN5,SFXN5,-0.037927022048172214,0.01733222132402162,-0.07202774560272969,-0.003826298493614738,0.029381864585836862
FRZB,sFRP-3,0.049126173767128314,0.02236638280959626,0.005120860031123248,0.09313148750313338,0.028785051161648884
GABBR2,GABR2,-0.0068104200269365625,0.010163934313150966,-0.026807713377851414,0.01318687332397829,0.5033089677137911
EIF4G3,IF4G3,-0.006146503672340864,0.013631608590972611,-0.032966361754837845,0.020673354410156115,0.6523692904153728
IL17F,IL-17F,0.018376063230731664,0.017174443194800985,-0.015414235695215096,0.05216636215667843,0.28544880855420907
FLT3LG,Flt3 ligand,-0.030682656305058932,0.019972741342376622,-0.06997853872026417,0.00861322611014631,0.12548029572093788
TNFRSF10D,TRAIL R4,-0.08517942570048824,0.037831105654280786,-0.1596112051915517,-0.010747646209424769,0.025033803188403557
IL1R2,IL-1 sRII,-0.05933990115683961,0.02856253949390309,-0.11553600234254267,-0.003143799971136549,0.03855618918234797
RXFP1,RXFP1,-0.00287312912753847,0.023818590361796756,-0.0497356258729017,0.043989367617824765,0.9040640971751392
CD93,C1QR1,-0.04714628410939828,0.05148719186498041,-0.1484460808039381,0.05415351258514153,0.36052577978400946
PREP,PPCE,0.03772244036766925,0.01686683571171716,0.0045373516769170105,0.07090752905842149,0.026015228478938435
TRAPPC3,TPPC3,-0.057422648947616235,0.025710602047576286,-0.10800763262945424,-0.0068376652657782255,0.026218531765836727
CAPN2,CAN2,-0.03682783647374732,0.02567168354585973,-0.0873362489508111,0.013680576003316451,0.15239533880586584
SEC13,SEC13,-0.14251915096577844,0.055026359758784116,-0.25078217434104944,-0.03425612759050743,0.010040216728694004
FIGF,VEGF-D,0.007335758155904933,0.018098413431216386,-0.028272429718931034,0.0429439460307409,0.6855112817943065
NETO1,NETO1,-0.03004615579137828,0.021330382288196763,-0.07201316371982606,0.011920852137069504,0.15993104696912816
S100A10,Calpactin I light chain,0.09931524379463526,0.030622251261541385,0.039066709843551074,0.15956377774571945,0.0013077307227618044
SDF2,SDF2,-0.0016443281827615013,0.009252353168417781,-0.01984810782109698,0.016559451455573977,0.8590563877430347
IFNA4,IFNA4,-0.018300820044049048,0.01636307022628476,-0.05049476240485863,0.013893122316760539,0.2642335604873767
MMP20,MMP20,-0.017275901686859975,0.018482797057955108,-0.0536403549906487,0.019088551616928753,0.3506535059077249
RAMP1,RAMP1,-0.04490588826799327,0.012751322827624725,-0.06999380553899515,-0.019817970996991403,4.917865806104931e-4
TIMD4,TIM-4,-0.02453955357846101,0.01464583786695234,-0.05335488307310695,0.004275775916184929,0.09481615392848593
NT5E,5'-Nucleotidase,0.10330933089555097,0.03098435343759489,0.04234836972736274,0.1642702920637392,9.567235398120837e-4
DPP4,CD26,-0.03974377718406084,0.040664432610633454,-0.11975005849298129,0.04026250412485962,0.32913637651003913
FGFBP1,FGFP1,0.025414581989760158,0.018489109107399197,-0.010962290117662084,0.0617914540971824,0.17023557189902624
NPTXR,NPTXR,0.05161033312211573,0.01993994602280752,0.012378974699859928,0.09084169154437152,0.01008964218851313
PRSS8,Prostasin,0.0041977652461458,0.02686578095810292,-0.04866000482282007,0.05705553531511166,0.8759358063752093
