source,pathway,pathway_clean,NES,padj,size
KEGG,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,PORPHYRIN AND CHLOROPHYLL METABOLISM,0.773691404968573,1,17
KEGG,KEGG_PPAR_SIGNALING_PATHWAY,PPAR SIGNALING PATHWAY,0.9321676247726471,1,28
KEGG,KEGG_PRIMARY_IMMUNODEFICIENCY,PRIMARY IMMUNODEFICIENCY,1.024066163535067,1,17
KEGG,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,PROGESTERONE MEDIATED OOCYTE MATURATION,-0.7467565425658005,1,42
KEGG,KEGG_PROSTATE_CANCER,PROSTATE CANCER,0.6756012542336571,1,52
KEGG,KEGG_PROTEASOME,PROTEASOME,0.6908835076910816,1,21
KEGG,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,REGULATION OF ACTIN CYTOSKELETON,-0.6406806920016419,1,98
KEGG,KEGG_RENAL_CELL_CARCINOMA,RENAL CELL CARCINOMA,-0.6097611669525628,1,40
KEGG,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,RIG I LIKE RECEPTOR SIGNALING PATHWAY,-0.6817070622756488,1,39
KEGG,KEGG_SMALL_CELL_LUNG_CANCER,SMALL CELL LUNG CANCER,-0.7417169090580779,1,32
KEGG,KEGG_SPHINGOLIPID_METABOLISM,SPHINGOLIPID METABOLISM,-0.9250644416639668,1,15
KEGG,KEGG_SPLICEOSOME,SPLICEOSOME,0.9608535092452025,1,40
KEGG,KEGG_STEROID_HORMONE_BIOSYNTHESIS,STEROID HORMONE BIOSYNTHESIS,-0.8541641669958124,1,15
KEGG,KEGG_TIGHT_JUNCTION,TIGHT JUNCTION,0.6640917011151456,1,46
KEGG,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,TOLL LIKE RECEPTOR SIGNALING PATHWAY,-0.773121305909209,1,66
KEGG,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,T CELL RECEPTOR SIGNALING PATHWAY,-0.8099377568522921,1,65
KEGG,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,UBIQUITIN MEDIATED PROTEOLYSIS,0.608575017532397,1,47
KEGG,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,VASCULAR SMOOTH MUSCLE CONTRACTION,-0.945659674184146,1,32
KEGG,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,VASOPRESSIN REGULATED WATER REABSORPTION,0.4887145531843438,1,19
KEGG,KEGG_VEGF_SIGNALING_PATHWAY,VEGF SIGNALING PATHWAY,-0.6549296724004923,1,50
KEGG,KEGG_WNT_SIGNALING_PATHWAY,WNT SIGNALING PATHWAY,-0.7168744623405694,1,56
Reactome,REACTOME_ANTIMICROBIAL_PEPTIDES,ANTIMICROBIAL PEPTIDES,2.061842939231567,0.011451347849615556,60
Reactome,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,CHEMOKINE RECEPTORS BIND CHEMOKINES,2.188197270939613,0.011451347849615556,32
Reactome,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM,-2.070869512038914,0.011451347849615556,29
Reactome,REACTOME_DISEASES_OF_METABOLISM,DISEASES OF METABOLISM,-1.8705407865121084,0.011451347849615556,113
Reactome,REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,METABOLISM OF CARBOHYDRATES AND CARBOHYDRATE DERIVATIVES,-1.7566703399393986,0.01882455303108334,142
Reactome,REACTOME_BIOLOGICAL_OXIDATIONS,BIOLOGICAL OXIDATIONS,-1.8456860204257206,0.022391615144723487,77
Reactome,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,KERATAN SULFATE KERATIN METABOLISM,-2.02071112619593,0.022391615144723487,24
Reactome,REACTOME_SENSORY_PERCEPTION,SENSORY PERCEPTION,-1.8609291845406777,0.022391615144723487,64
Reactome,REACTOME_COMPLEMENT_CASCADE,COMPLEMENT CASCADE,1.8442775665825015,0.05053095748247003,48
Reactome,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,KERATAN SULFATE BIOSYNTHESIS,-1.9405948458759799,0.05792435226824358,21
Reactome,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING,1.6881097662730933,0.06574175749721702,77
Reactome,REACTOME_GLUCONEOGENESIS,GLUCONEOGENESIS,-1.840797760338169,0.1042159141652213,18
Reactome,REACTOME_VISUAL_PHOTOTRANSDUCTION,VISUAL PHOTOTRANSDUCTION,-1.7467804772647042,0.10805069458089904,43
Reactome,REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,CLASS A 1 RHODOPSIN LIKE RECEPTORS,1.530038546803901,0.13307318618496264,97
Reactome,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,METABOLISM OF AMINO ACIDS AND DERIVATIVES,-1.6034488509093978,0.13307318618496264,109
Reactome,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,METABOLISM OF FAT SOLUBLE VITAMINS,-1.8017454005810143,0.13307318618496264,31
Reactome,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,MITOCHONDRIAL PROTEIN DEGRADATION,-1.7322434454521483,0.13307318618496264,30
Reactome,REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,POST TRANSLATIONAL MODIFICATION SYNTHESIS OF GPI ANCHORED PROTEINS,-1.7879707225919521,0.13307318618496264,31
Reactome,REACTOME_SIGNALING_BY_NOTCH1,SIGNALING BY NOTCH1,-1.7919848208683797,0.13307318618496264,26
Reactome,REACTOME_STRIATED_MUSCLE_CONTRACTION,STRIATED MUSCLE CONTRACTION,1.8323200126237262,0.1351935442112036,16
Reactome,REACTOME_DISEASES_OF_GLYCOSYLATION,DISEASES OF GLYCOSYLATION,-1.5891598599166779,0.14741054237645249,65
Reactome,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS,-1.7681538473906724,0.14757016964261455,17
Reactome,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,PHASE I FUNCTIONALIZATION OF COMPOUNDS,-1.7719864875047873,0.14757016964261455,27
Reactome,REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,PHASE II CONJUGATION OF COMPOUNDS,-1.6626681253465148,0.1488240919947291,45
Reactome,REACTOME_ECM_PROTEOGLYCANS,ECM PROTEOGLYCANS,-1.640095961084882,0.16090936692960423,44
Reactome,REACTOME_KIDNEY_DEVELOPMENT,KIDNEY DEVELOPMENT,-1.772446394496453,0.16090936692960423,16
Reactome,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,PEPTIDE LIGAND BINDING RECEPTORS,1.509995630878219,0.16090936692960423,84
Reactome,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,GLYCOSAMINOGLYCAN METABOLISM,-1.6044045007889438,0.21637618221850524,75
Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION,1.6931588262757664,0.250244913470462,18
Reactome,REACTOME_GLYCOSAMINOGLYCAN_PROTEIN_LINKAGE_REGION_BIOSYNTHESIS,GLYCOSAMINOGLYCAN PROTEIN LINKAGE REGION BIOSYNTHESIS,-1.7445539869266837,0.25212185630185807,20
Reactome,REACTOME_OPIOID_SIGNALLING,OPIOID SIGNALLING,-1.6745669271000905,0.32416692236825656,25
Reactome,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,METABOLISM OF VITAMINS AND COFACTORS,-1.457754781473386,0.37138495025077506,86
Reactome,REACTOME_GLUCOSE_METABOLISM,GLUCOSE METABOLISM,-1.5712075806650314,0.3887435744517955,33
Reactome,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,INITIAL TRIGGERING OF COMPLEMENT,1.5767420794324827,0.4236181956145536,19
