gene,target,full_name,beta,se,t_stat,p_value,FDR
CCBL1,KAT1,Kynurenine--oxoglutarate transaminase 1,0.05908873257849863,0.019604616103212808,3.01402140533704,0.002628806417440242,0.18969314713673865
PRSS27,Marapsin,Serine protease 27,-0.1007476946799273,0.033587264270907025,-2.999580253613987,0.0027557654260519505,0.19601365794732376
BMP7,BMP-7,Bone morphogenetic protein 7,-0.0885200414069224,0.02957678803118012,-2.992888927411718,0.0028164723531462835,0.19751008234246967
HECW1,HECW1,E3 ubiquitin-protein ligase HECW1,0.07113385884579608,0.02382001745457242,2.9863059076869582,0.0028773874236972356,0.19897933309150742
IAPP,IAPP,Islet amyloid polypeptide,-0.09776527674564586,0.032814557697832245,-2.9793263601448547,0.002943284807253473,0.20074815144267177
PIGR,PIGR,Polymeric immunoglobulin receptor,-0.1395746728518397,0.047076438463865646,-2.9648520025356784,0.003084359451545381,0.20650045723498975
ADH4,ADH4,Alcohol dehydrogenase 4,-0.16388190669101466,0.055323839522977175,-2.9622294494392603,0.003110571257807638,0.20650045723498975
SAA1,SAA,Serum amyloid A-1 protein,0.20753272026980837,0.07078288720325175,2.9319617844053467,0.0034281540029828103,0.2216620613902964
SPA17,Sperm protein 17,Sperm surface protein Sp17,0.11107027286714911,0.03793462035891282,2.9279394868400974,0.0034725127110751394,0.2216620613902964
CD55,DAF,Complement decay-accelerating factor,-0.04501518252815817,0.015336725779218817,-2.935123387884623,0.0033936503724667985,0.2216620613902964
PILRA,PILRA isoform FDF03-M14,Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14,0.36806413748942157,0.12609656066386107,2.918907030863275,0.003574036365778741,0.22334117371740883
GAS7,GAS7,Growth arrest-specific protein 7,-0.0911313321306039,0.03126114295788724,-2.9151631548907044,0.003616903859997895,0.22334117371740883
DEFB1,HBD-1,Beta-defensin 1,-0.08340419707593982,0.02862450320325804,-2.9137343095074835,0.0036333872406326805,0.22334117371740883
CALCB,CALCB,Calcitonin gene-related peptide 2,0.10783760767435133,0.037135698132732216,2.9038799079234465,0.003748944294497138,0.22763406880855183
RBP4,RBP,Retinol-binding protein 4,-0.0715008675145322,0.024753662264465744,-2.8884965283368507,0.003936034577780995,0.22787809491594851
GIMAP6,GIMA6,GTPase IMAP family member 6,-0.07184040033706787,0.02484094237697708,-2.892015900477694,0.0038924988332461074,0.22787809491594851
CCL16,HCC-4,C-C motif chemokine 16,0.10657976500696355,0.03685898152762601,2.8915548012926355,0.0038981777380254884,0.22787809491594851
C1RL,C1RL1,Complement C1r subcomponent-like protein,0.06188966390006818,0.021372949501387514,2.8957006563857903,0.0038473869122862565,0.22787809491594851
TFRC,TR,Transferrin receptor protein 1:Extracellular domain,0.07376322436904305,0.025754737528936904,2.8640643021955046,0.004250679639809533,0.24050152189331436
PTK7,PTK7,Inactive tyrosine-protein kinase 7,-0.05488185847654956,0.019150939109312707,-2.865752857511914,0.004228220496311623,0.24050152189331436
EMILIN3,EMIL3,EMILIN-3:region 1,-0.10820088508885702,0.03785214225040714,-2.8585141726738916,0.004325266076693714,0.24197190781862926
